,Car Name,Kilometers Driven (in Km),Fuel Type,Transmission Type,Price (in Lakh),City,Year,Brand
332,Maruti Suzuki Alto K10,29026,Petrol,AMT,3.75,Bangalore,2016,Maruti
333,Maruti Suzuki Celerio,28800,Petrol,AMT,4.65,Bangalore,2015,Maruti
334,Tata Tiago,29439,Petrol,Manual,5.25,Bangalore,2017,Tata
335,Maruti Suzuki Swift,65450,Petrol,Manual,5.85,Bangalore,2018,Maruti
336,Maruti Suzuki Swift DZire,53300,Petrol,Manual,6.45,Bangalore,2018,Maruti
337,Citroen C3,22210,Petrol,Manual,6.45,Bangalore,2022,Citroen
338,Renault Triber,21249,Petrol,Manual,6.95,Bangalore,2019,Renault
339,Toyota Glanza,23600,Petrol,Automatic,7.95,Bangalore,2019,Toyota
340,Tata Nexon,9686,Petrol,AMT,9.0,Bangalore,2019,Tata
341,Mahindra Thar,16353,Petrol,Manual,16.25,Bangalore,2022,Mahindra
342,Hyundai Alcazar,28015,Petrol,Manual,16.5,Bangalore,2022,Hyundai
343,Mahindra Scorpio Classic,13568,Diesel,Manual,18.0,Bangalore,2023,Mahindra
344,Mahindra Scorpio-N,13786,Diesel,Manual,25.0,Bangalore,2022,Mahindra
345,Renault Kwid,49990,Petrol,Manual,3.45,Bangalore,2016,Renault
346,Maruti Suzuki Celerio,31200,Petrol,AMT,4.3,Bangalore,2016,Maruti
347,Hyundai Grand i10,32758,Petrol,Manual,4.9,Bangalore,2017,Hyundai
348,Maruti Suzuki Swift DZire,31944,Petrol,Manual,5.25,Bangalore,2015,Maruti
349,Tata Tiago,34709,Petrol,Manual,5.35,Bangalore,2018,Tata
350,Honda Jazz,48787,Petrol,Manual,5.45,Bangalore,2017,Honda
351,Tata Tiago,43700,Diesel,Manual,5.85,Bangalore,2018,Tata
352,Honda Jazz,40700,Petrol,Manual,5.9,Bangalore,2015,Honda
353,Volkswagen Polo,47538,Petrol,Manual,6.0,Bangalore,2016,Volkswagen
354,Hyundai i20 Active,36460,Petrol,Manual,6.25,Bangalore,2016,Hyundai
355,Tata Tigor,42050,Petrol,AMT,6.35,Bangalore,2018,Tata
356,Tata Tiago,31500,Petrol,AMT,6.75,Bangalore,2019,Tata
357,Tata Tiago,37600,Petrol,AMT,6.95,Bangalore,2020,Tata
358,Mahindra TUV300,48750,Diesel,AMT,7.25,Bangalore,2017,Mahindra
359,Tata Altroz,31195,Petrol,Manual,7.95,Bangalore,2021,Tata
360,Hyundai Elite i20,39192,Petrol,Automatic,7.95,Bangalore,2019,Hyundai
361,Hyundai Venue,31801,Petrol,Manual,8.25,Bangalore,2020,Hyundai
362,Hyundai Creta,36680,Petrol,Manual,9.75,Bangalore,2016,Hyundai
363,Mahindra Thar,32000,Diesel,Manual,16.5,Bangalore,2022,Mahindra
364,Mahindra XUV700,32145,Petrol,Automatic,25.0,Bangalore,2022,Mahindra
365,Mahindra XUV700,32000,Petrol,Automatic,25.0,Bangalore,2022,Mahindra
366,Hyundai Grand i10,53285,Petrol,Automatic,5.35,Bangalore,2017,Hyundai
367,Volkswagen Ameo,54525,Petrol,Manual,6.15,Bangalore,2019,Volkswagen
368,Hyundai Elite i20,82848,Diesel,Manual,6.4,Bangalore,2018,Hyundai
369,Hyundai Elite i20,62710,Petrol,Manual,6.45,Bangalore,2017,Hyundai
370,Tata Altroz,64459,Petrol,Manual,7.25,Bangalore,2021,Tata
371,Tata Nexon,54767,Petrol,AMT,7.95,Bangalore,2019,Tata
372,Maruti Suzuki S-Cross,51737,Diesel,Manual,8.45,Bangalore,2017,Maruti
373,Maruti Suzuki Vitara Brezza,81451,Diesel,Manual,8.75,Bangalore,2017,Maruti
374,Hyundai Creta,57093,Petrol,Automatic,11.25,Bangalore,2018,Hyundai
375,Honda Jazz,32051,Diesel,Manual,5.75,Bangalore,2016,Honda
376,Honda Jazz,47660,Petrol,Automatic,6.55,Bangalore,2016,Honda
377,Renault Triber,32485,Petrol,Manual,6.85,Bangalore,2019,Renault
378,Maruti Suzuki Swift,42404,Petrol,AMT,6.95,Bangalore,2018,Maruti
379,Maruti Suzuki Ertiga,42217,Petrol,Manual,7.75,Bangalore,2017,Maruti
380,Tata Nano,17000,Petrol,AMT,2.8,Bangalore,2016,Tata
381,Nissan Micra Active,17511,Petrol,Manual,3.75,Bangalore,2015,Nissan
382,Ford Fiesta Classic,54350,Diesel,Manual,3.95,Bangalore,2014,Ford
383,Maruti Suzuki S-Presso,27629,Petrol,Manual,4.95,Bangalore,2021,Maruti
384,Renault Kwid,4150,Petrol,AMT,5.25,Bangalore,2020,Renault
385,Maruti Suzuki Celerio,25545,Petrol,Manual,5.35,Bangalore,2019,Maruti
386,Tata Altroz,25705,Petrol,Manual,5.95,Bangalore,2020,Tata
387,Maruti Suzuki Ciaz,56710,Petrol,Manual,6.45,Bangalore,2016,Maruti
388,Volkswagen Ameo,29413,Petrol,Manual,6.5,Bangalore,2018,Volkswagen
389,Maruti Suzuki Baleno,54013,Petrol,Manual,6.85,Bangalore,2017,Maruti
390,Hyundai Grand i10,35100,Petrol,Automatic,5.95,Bangalore,2016,Hyundai
391,Maruti Suzuki Ciaz,45483,Petrol,Manual,6.2,Bangalore,2015,Maruti
392,Renault Duster,48950,Petrol,Manual,6.95,Bangalore,2017,Renault
393,Maruti Suzuki Baleno,42341,Petrol,Automatic,7.25,Bangalore,2018,Maruti
394,Tata Nexon,45226,Petrol,Manual,7.55,Bangalore,2018,Tata
395,Maruti Suzuki Baleno,31185,Petrol,Manual,7.75,Bangalore,2021,Maruti
396,Maruti Suzuki Baleno,32000,Petrol,Manual,9.25,Bangalore,2022,Maruti
397,Hyundai Fluidic Verna,93898,Diesel,Automatic,4.5,Bangalore,2012,Hyundai
398,Hyundai Grand i10,52708,Diesel,Manual,4.5,Bangalore,2014,Hyundai
399,Ford Figo,57091,Diesel,Manual,5.55,Bangalore,2017,Ford
400,Renault Lodgy,67046,Diesel,Manual,6.1,Bangalore,2015,Renault
401,Volkswagen Polo,53450,Petrol,Automatic,6.45,Bangalore,2014,Volkswagen
402,Maruti Suzuki Baleno,72065,Petrol,Manual,6.5,Bangalore,2019,Maruti
403,Renault Duster,71603,Diesel,Manual,6.65,Bangalore,2015,Renault
404,Volkswagen Ameo,70554,Diesel,Manual,6.75,Bangalore,2017,Volkswagen
405,Mahindra XUV500,87841,Diesel,Manual,8.45,Bangalore,2015,Mahindra
406,Mahindra XUV500,64600,Diesel,Manual,8.95,Bangalore,2014,Mahindra
407,Mahindra XUV500,58833,Diesel,Manual,9.15,Bangalore,2015,Mahindra
408,Hyundai Venue,51154,Diesel,Manual,9.45,Bangalore,2019,Hyundai
409,Mahindra XUV500,39685,Diesel,Automatic,10.0,Bangalore,2017,Mahindra
410,Mahindra XUV500,44623,Diesel,Manual,11.0,Bangalore,2015,Mahindra
411,Volkswagen Polo,101426,Diesel,Manual,3.75,Bangalore,2012,Volkswagen
412,Skoda Rapid,89480,Diesel,Manual,3.95,Bangalore,2012,Skoda
413,Skoda Rapid,100900,Diesel,Manual,4.25,Bangalore,2012,Skoda
414,Skoda Rapid,101909,Diesel,Manual,4.5,Bangalore,2012,Skoda
415,Mahindra XUV500,67146,Diesel,Manual,9.5,Bangalore,2014,Mahindra
416,Hyundai Grand i10,37888,Petrol,Manual,4.7,Bangalore,2015,Hyundai
417,Ford EcoSport,71490,Diesel,Manual,7.25,Bangalore,2016,Ford
418,Honda City,16062,Petrol,Manual,7.0,Kolkata,2018,Honda
419,Maruti Suzuki Swift DZire,33991,Petrol,Manual,4.5,Kolkata,2018,Maruti
420,Mahindra KUV100,21500,Petrol,Manual,3.5,Kolkata,2017,Mahindra
421,Maruti Suzuki Swift,75000,Diesel,Manual,5.5,Kolkata,2018,Maruti
422,Hyundai Verna,26884,Petrol,Manual,5.5,Kolkata,2018,Hyundai
423,Hyundai i20,29988,Petrol,Manual,7.25,Kolkata,2021,Hyundai
424,Hyundai Tucson,12241,Petrol,Manual,7.75,Kolkata,2018,Hyundai
425,Kia Carens,19652,Petrol,Manual,12.0,Kolkata,2023,Kia
426,Mahindra Thar,10495,Diesel,Manual,14.5,Kolkata,2023,Mahindra
427,Mahindra Thar,15800,Diesel,Manual,14.5,Kolkata,2023,Mahindra
428,Datsun Redi GO,38664,Petrol,Manual,2.0,Kolkata,2018,Datsun
429,Mahindra XUV300,42028,Diesel,Manual,8.5,Kolkata,2019,Mahindra
430,Honda Amaze,58856,Petrol,Manual,2.99,Kolkata,2016,Honda
431,Maruti Suzuki Swift DZire,25448,Diesel,Manual,3.5,Kolkata,2017,Maruti
432,Mahindra KUV100,55872,Diesel,Manual,3.5,Kolkata,2017,Mahindra
433,Ford EcoSport,65200,Diesel,Manual,4.25,Kolkata,2017,Ford
434,Maruti Suzuki Swift,420000,Petrol,Manual,5.0,Kolkata,2018,Maruti
435,Ford EcoSport,26200,Petrol,Manual,5.5,Kolkata,2021,Ford
436,Tata Nexon,61218,Petrol,Manual,6.0,Kolkata,2018,Tata
437,Maruti Suzuki Ciaz,86000,Petrol,Manual,6.5,Kolkata,2017,Maruti
438,Mahindra XUV500,73978,Diesel,Manual,9.75,Kolkata,2020,Mahindra
439,Maruti Suzuki Swift DZire,42551,Diesel,Manual,3.85,Kolkata,2017,Maruti
440,Mahindra XUV300,38855,Petrol,Manual,9.5,Kolkata,2020,Mahindra
441,Jeep Compass,47853,Diesel,Manual,11.5,Kolkata,2019,Jeep
442,Maruti Suzuki Wagon R,83665,Petrol,Manual,4.85,Kolkata,2019,Maruti
443,Maruti Suzuki Swift,55214,Petrol,Manual,5.0,Kolkata,2020,Maruti
444,Honda Amaze,27123,Petrol,Manual,5.75,Kolkata,2023,Honda
445,Hyundai Creta,85112,Diesel,Manual,6.0,Kolkata,2015,Hyundai
446,Hyundai Creta,81339,Diesel,Manual,9.0,Kolkata,2018,Hyundai
447,Mahindra XUV300,26600,Petrol,Manual,9.0,Kolkata,2021,Mahindra
448,Mahindra XUV500,98152,Diesel,Manual,9.5,Kolkata,2018,Mahindra
449,Hyundai Creta,21072,Petrol,Manual,10.0,Kolkata,2019,Hyundai
450,Mahindra Thar,25885,Diesel,Manual,12.0,Kolkata,2020,Mahindra
451,Mahindra XUV700,245,Diesel,Automatic,28.3,Kolkata,2024,Mahindra
452,Maruti Suzuki Wagon R,65221,Petrol,Manual,3.5,Kolkata,2017,Maruti
453,Maruti Suzuki Wagon R,77412,Petrol,Manual,3.75,Kolkata,2017,Maruti
454,Maruti Suzuki A-Star,47280,Petrol,Manual,1.8,Kolkata,2011,Maruti
455,Hyundai Verna,45825,Petrol,Manual,2.0,Kolkata,2009,Hyundai
456,Maruti Suzuki Vitara Brezza,48966,Petrol,Manual,6.15,Kolkata,2020,Maruti
457,Chevrolet Sail UVA,103990,Petrol,Manual,1.45,Kolkata,2013,Chevrolet
458,Hyundai EON,65236,Petrol,Manual,1.5,Kolkata,2016,Hyundai
459,Hyundai EON,85236,Petrol,Manual,1.85,Kolkata,2018,Hyundai
460,Maruti Suzuki Celerio,66200,Diesel,Manual,2.09,Kolkata,2016,Maruti
461,Nissan Terrano,70172,Diesel,Manual,3.49,Kolkata,2015,Nissan
462,Hyundai Fluidic Verna,90633,Diesel,Manual,4.0,Kolkata,2014,Hyundai
463,Hyundai Creta,54269,Petrol,Manual,6.0,Kolkata,2016,Hyundai
464,Mahindra XUV500,78185,Diesel,Manual,6.25,Kolkata,2015,Mahindra
465,Renault Duster,110000,Diesel,Manual,6.5,Kolkata,2018,Renault
466,Mahindra XUV500,76200,Diesel,Manual,6.5,Kolkata,2016,Mahindra
467,Hyundai EON,75845,Petrol,Manual,2.25,Kolkata,2017,Hyundai
468,Mahindra KUV100,53758,Petrol,Manual,2.25,Kolkata,2016,Mahindra
469,Hyundai i20,85214,Petrol,Manual,3.25,Kolkata,2013,Hyundai
470,Ford EcoSport,58854,Diesel,Manual,3.7,Kolkata,2016,Ford
471,Nissan Terrano,42012,Diesel,Manual,3.5,Kolkata,2014,Nissan
472,SsangYong Rexton W,57965,Diesel,Automatic,3.75,Kolkata,2014,SsangYong
473,Tata Nexon EV,43571,Electric,Automatic,13.1,Chennai,2021,Tata
474,Mahindra KUV100,74472,Petrol,Manual,3.5,Chennai,2016,Mahindra
475,Hyundai Grand i10,88000,Petrol,Manual,4.75,Chennai,2019,Hyundai
476,Volkswagen Ameo,62000,Petrol,Manual,5.25,Chennai,2017,Volkswagen
477,Honda Jazz,20565,Petrol,Manual,6.2,Chennai,2017,Honda
478,Maruti Suzuki Swift,55000,Petrol,Manual,6.25,Chennai,2019,Maruti
479,Maruti Suzuki Swift,79000,Diesel,Manual,7.0,Chennai,2019,Maruti
480,Nissan Magnite,14000,Petrol,Manual,7.1,Chennai,2022,Nissan
481,Honda Amaze,52008,Diesel,Automatic,7.8,Chennai,2019,Honda
482,Hyundai Elite i20,28522,Petrol,Manual,8.35,Chennai,2021,Hyundai
483,Honda City,25000,Petrol,Manual,9.5,Chennai,2022,Honda
484,Mahindra XUV500,79000,Diesel,Automatic,15.5,Chennai,2021,Mahindra
485,Maruti Suzuki Swift,38581,Petrol,Manual,4.1,Chennai,2015,Maruti
486,Hyundai EON,74777,Petrol,Manual,3.25,Chennai,2014,Hyundai
487,Renault Captur,71567,Diesel,Manual,6.95,Chennai,2018,Renault
488,Honda City ZX,59365,Petrol,Manual,10.3,Chennai,2019,Honda
489,Mahindra Bolero Neo,28343,Diesel,Manual,12.75,Chennai,2021,Mahindra
490,Mahindra XUV700,20580,Petrol,Automatic,26.0,Chennai,2021,Mahindra
491,Renault Kwid,38108,Petrol,Manual,3.25,Chennai,2016,Renault
492,Honda WR-V,37480,Petrol,Manual,7.25,Chennai,2017,Honda
493,Honda CR-V,58000,Petrol,Manual,2.2,Chennai,2011,Honda
494,Hyundai i10,129000,Petrol+LPG,Manual,2.25,Chennai,2012,Hyundai
495,Maruti Suzuki Swift,143000,Petrol,Manual,2.5,Chennai,2009,Maruti
496,Ford Figo Aspire,68000,Diesel,Manual,4.5,Chennai,2015,Ford
497,Honda Amaze,81036,Petrol,Manual,4.7,Chennai,2018,Honda
498,Maruti Suzuki Swift,114000,Diesel,AMT,6.6,Chennai,2019,Maruti
499,Hyundai Verna,66029,Diesel,Automatic,8.45,Chennai,2018,Hyundai
500,Mahindra XUV500,83291,Diesel,Manual,8.85,Chennai,2014,Mahindra
501,Audi A4,58786,Diesel,Automatic,14.0,Chennai,2015,Audi
502,Maruti Suzuki Swift,51842,Diesel,Manual,3.2,Chennai,2016,Maruti
503,Nissan Micra,25848,Petrol,AMT,3.7,Chennai,2018,Nissan
504,Maruti Suzuki Wagon R,70301,Petrol,AMT,3.8,Chennai,2016,Maruti
505,Ford Figo Aspire,105512,Diesel,Manual,4.5,Chennai,2017,Ford
506,Mahindra XUV500,150000,Diesel,Manual,5.75,Chennai,2013,Mahindra
507,Maruti Suzuki Swift DZire,54844,Diesel,Manual,6.2,Chennai,2016,Maruti
508,Renault Triber,26525,Petrol,Manual,6.5,Chennai,2020,Renault
509,Hyundai Grand i10 Nios,9775,Petrol,Manual,6.8,Chennai,2019,Hyundai
510,Honda City,50597,Petrol,Manual,7.2,Chennai,2016,Honda
511,Maruti Suzuki Ertiga,121000,Diesel,Manual,7.5,Chennai,2014,Maruti
512,Maruti Suzuki Omni,7500,Petrol,Manual,9.75,Chennai,2021,Maruti
513,Hyundai Creta,13440,Petrol,Automatic,12.5,Chennai,2019,Hyundai
514,Mahindra XUV500,100000,Diesel,Manual,8.0,Chennai,2014,Mahindra
515,Mahindra XUV500,147000,Diesel,Manual,7.0,Chennai,2014,Mahindra
516,Hyundai EON,35625,Petrol,Manual,2.3,Chennai,2017,Hyundai
517,Maruti Suzuki Celerio,44814,Petrol,AMT,4.05,Chennai,2016,Maruti
518,Honda Jazz,42525,Petrol,Manual,4.95,Chennai,2016,Honda
519,Honda BR-V,48081,Petrol,Manual,6.6,Chennai,2016,Honda
520,Maruti Suzuki S-Cross,42700,Diesel,Manual,9.0,Chennai,2019,Maruti
521,Hyundai Creta,55566,Petrol,Manual,1.0,Chennai,2017,Hyundai
522,Tata Venture,68598,Diesel,Manual,1.8,Chennai,2015,Tata
523,Tata Bolt,60625,Petrol,Manual,3.1,Chennai,2015,Tata
524,Maruti Suzuki Celerio,62565,Petrol,AMT,4.1,Chennai,2015,Maruti
525,Hyundai i20 Active,58888,Petrol,Manual,6.0,Chennai,2018,Hyundai
526,Honda Jazz,87452,Diesel,Manual,6.4,Chennai,2017,Honda
527,Tata Tigor,66899,Petrol,Manual,7.5,Chennai,2018,Tata
528,Maruti Suzuki Vitara Brezza,58885,Diesel,AMT,8.5,Chennai,2018,Maruti
529,Maruti Suzuki Swift,78000,Petrol,Manual,2.0,Chennai,2008,Maruti
530,Mahindra TUV300 Plus,10000,Diesel,Manual,9.0,Chennai,2018,Mahindra
531,Tata Aria,70332,Diesel,Manual,4.5,Chennai,2014,Tata
532,Maruti Suzuki Baleno,43799,Diesel,Manual,4.95,Pune,2017,Maruti
533,Tata Tigor,42000,Petrol,AMT,5.25,Pune,2018,Tata
534,Tata Tiago,35000,Petrol,AMT,5.45,Pune,2019,Tata
535,Ford EcoSport,38000,Petrol,Automatic,7.9,Pune,2018,Ford
536,Skoda Kushaq,45000,Petrol,Automatic,12.49,Pune,2021,Skoda
537,Maruti Suzuki Alto K10,52000,Petrol,AMT,3.49,Pune,2014,Maruti
538,Hyundai Grand i10,75000,Petrol,Manual,4.2,Pune,2015,Hyundai
539,Maruti Suzuki Celerio,26648,Petrol,Manual,4.9,Pune,2018,Maruti
540,Hyundai Grand i10,56000,Petrol,Manual,5.25,Pune,2016,Hyundai
541,Ford Freestyle,75000,Diesel,Manual,6.49,Pune,2019,Ford
542,Mahindra Marazzo,85000,Diesel,Manual,6.99,Pune,2019,Mahindra
543,Honda WR-V,57000,Diesel,Manual,8.49,Pune,2017,Honda
544,Maruti Suzuki Vitara Brezza,99000,Diesel,Manual,9.21,Pune,2019,Maruti
545,Honda City ZX,57000,Petrol,Automatic,9.8,Pune,2018,Honda
546,Hyundai Creta,65000,Diesel,Manual,9.81,Pune,2016,Hyundai
547,MG Hector Plus,20100,Diesel,Manual,17.49,Pune,2021,MG
548,Mahindra XUV700,59000,Petrol,Manual,24.5,Pune,2022,Mahindra
549,Maruti Suzuki Wagon R,32075,Petrol,AMT,5.5,Pune,2018,Maruti
550,Maruti Suzuki Celerio,45000,Petrol,AMT,3.9,Pune,2015,Maruti
551,Hyundai i20,38000,Petrol,Manual,4.1,Pune,2014,Hyundai
552,Volkswagen Vento,44000,Petrol,Automatic,6.8,Pune,2017,Volkswagen
553,Tata Nexon,48434,Petrol,Manual,6.89,Pune,2018,Tata
554,Maruti Suzuki Ciaz,48500,Petrol,Manual,7.1,Pune,2017,Maruti
555,Volkswagen Ameo,44000,Diesel,Automatic,7.2,Pune,2018,Volkswagen
556,Honda WR-V,38236,Petrol,Manual,8.25,Pune,2018,Honda
557,Kia Sonet,45022,Diesel,Manual,8.75,Pune,2021,Kia
558,Honda City,31556,Petrol,Manual,11.5,Pune,2022,Honda
559,Honda Jazz,55000,Petrol,Automatic,5.4,Pune,2015,Honda
560,Ford EcoSport,55276,Diesel,Manual,6.15,Pune,2016,Ford
561,Maruti Suzuki Baleno,66454,Petrol,Automatic,6.24,Pune,2016,Maruti
562,Volkswagen Polo,65000,Petrol,Automatic,6.7,Pune,2016,Volkswagen
563,Honda City,71910,Petrol,Manual,7.0,Pune,2017,Honda
564,Volkswagen Ameo,92000,Diesel,Manual,7.49,Pune,2018,Volkswagen
565,Maruti Suzuki Swift DZire,79650,Diesel,AMT,7.75,Pune,2018,Maruti
566,Hyundai Creta,77000,Diesel,Automatic,9.8,Pune,2016,Hyundai
567,Honda Jazz,10000,Petrol,Manual,9.91,Pune,2021,Honda
568,Hyundai Creta,52000,Petrol,Automatic,10.49,Pune,2018,Hyundai
569,Kia Seltos,15000,Diesel,Manual,12.9,Pune,2019,Kia
570,Maruti Suzuki Wagon R,50000,Petrol,Manual,3.85,Pune,2016,Maruti
571,Volkswagen Vento,36523,Petrol,Manual,5.9,Pune,2016,Volkswagen
572,Maruti Suzuki Dzire,41139,Petrol,AMT,7.9,Pune,2019,Maruti
573,Hyundai Aura,34650,Petrol+CNG,Manual,8.7,Pune,2020,Hyundai
574,Maruti Suzuki Vitara Brezza,50000,Diesel,Manual,9.21,Pune,2018,Maruti
575,Mahindra XUV300,34000,Diesel,AMT,12.51,Pune,2020,Mahindra
576,Honda Amaze,67284,Petrol,Automatic,4.25,Pune,2015,Honda
577,Hyundai EON,16832,Petrol,Manual,3.0,Pune,2015,Hyundai
578,Hyundai i10,59000,Petrol,Automatic,3.5,Pune,2012,Hyundai
579,Maruti Suzuki Wagon R,82000,Petrol+CNG,Manual,3.85,Pune,2013,Maruti
580,Volkswagen Vento,80000,Diesel,Manual,4.71,Pune,2014,Volkswagen
581,Mahindra Scorpio,122365,Diesel,Manual,5.0,Pune,2012,Mahindra
582,Tata Tiago,95566,Diesel,Manual,5.4,Pune,2018,Tata
583,Volkswagen Polo,65000,Diesel,Manual,5.4,Pune,2015,Volkswagen
584,Tata Tiago,72229,Petrol,AMT,6.0,Pune,2019,Tata
585,Honda City,87415,Diesel,Manual,6.49,Pune,2015,Honda
586,BMW X1,95000,Diesel,Automatic,6.7,Pune,2011,BMW
587,Honda City,97885,Petrol,Manual,6.75,Pune,2016,Honda
588,Hyundai Grand i10 Nios,70000,Petrol+CNG,Manual,6.91,Pune,2020,Hyundai
589,Renault Triber,53702,Petrol,Manual,7.5,Pune,2019,Renault
590,Tata Punch,14000,Petrol,Manual,8.9,Pune,2022,Tata
591,Mahindra Scorpio,120000,Diesel,Manual,9.81,Pune,2016,Mahindra
592,Mahindra XUV500,65000,Diesel,Manual,9.9,Pune,2015,Mahindra
593,Tata Hexa,90000,Diesel,AMT,10.91,Pune,2017,Tata
594,Mercedes-Benz C-Class,64000,Diesel,Automatic,14.95,Pune,2013,Mercedes-Benz
595,Mahindra Thar,60000,Diesel,Manual,15.9,Pune,2021,Mahindra
596,Honda City,42014,Petrol,Manual,3.0,Pune,2010,Honda
597,Maruti Suzuki SX4,119702,Diesel,Manual,3.1,Pune,2011,Maruti
598,Mahindra TUV300,230254,Diesel,Manual,5.25,Pune,2016,Mahindra
599,Maruti Suzuki Wagon R,74000,Petrol,Manual,2.2,Pune,2009,Maruti
600,Hyundai i10,77788,Petrol,Automatic,2.3,Pune,2009,Hyundai
601,Honda City,91000,Petrol,Manual,3.0,Pune,2010,Honda
602,Honda Brio,79640,Petrol,Manual,3.1,Pune,2013,Honda
603,Maruti Suzuki Alto K10,71000,Petrol,Manual,3.5,Pune,2018,Maruti
604,Hyundai Grand i10,170000,Petrol,Manual,3.8,Pune,2014,Hyundai
605,Honda Amaze,79500,Diesel,Manual,4.0,Pune,2013,Honda
606,Honda City,101145,Diesel,Manual,5.5,Pune,2014,Honda
607,Renault Duster,102000,Diesel,Manual,7.1,Pune,2017,Renault
608,Maruti Suzuki Ertiga,90000,Diesel,Manual,7.5,Pune,2013,Maruti
609,Maruti Suzuki Ciaz,90000,Diesel,Manual,7.8,Pune,2017,Maruti
610,Mahindra Scorpio,110000,Diesel,Manual,8.61,Pune,2014,Mahindra
611,Maruti Suzuki Ertiga,174754,Petrol,Manual,9.0,Pune,2018,Maruti
612,Mercedes-Benz B-Class,135000,Diesel,Automatic,12.99,Pune,2015,Mercedes-Benz
613,Mahindra XUV500,74404,Diesel,Manual,12.99,Pune,2018,Mahindra
614,Mahindra XUV500,76000,Diesel,Manual,14.8,Pune,2019,Mahindra
615,Honda City ZX,50000,Petrol,Manual,2.75,Pune,2008,Honda
616,Toyota Etios,120000,Petrol,Manual,3.6,Pune,2012,Toyota
617,Skoda Rapid,124654,Diesel,Manual,5.35,Pune,2016,Skoda
618,Mahindra XUV500,140000,Diesel,Manual,4.71,Pune,2012,Mahindra
619,Skoda Rapid,71655,Petrol,Automatic,7.25,Pune,2017,Skoda
620,Jeep Compass,93235,Diesel,Manual,12.49,Pune,2017,Jeep
621,Volkswagen Vento,48000,Petrol,Manual,6.71,Pune,2017,Volkswagen
622,Hyundai i10,74000,Petrol,Manual,2.5,Pune,2010,Hyundai
623,Mahindra Verito,112000,Diesel,Manual,2.61,Pune,2012,Mahindra
624,Hyundai i10,55000,Petrol,Manual,2.5,Pune,2011,Hyundai
625,Maruti Suzuki Omni,93000,Petrol,Manual,2.95,Pune,2017,Maruti
626,Volkswagen Polo,40000,Diesel,Manual,5.35,Pune,2016,Volkswagen
627,Maruti Suzuki Ertiga,123000,Diesel,Manual,6.5,Pune,2014,Maruti
628,Honda City,29960,Petrol,Automatic,8.75,Thane,2019,Honda
629,Maruti Suzuki Swift DZire,46569,Petrol,AMT,6.35,Thane,2017,Maruti
630,Maruti Suzuki Wagon R,66113,Petrol,AMT,3.95,Thane,2016,Maruti
631,Hyundai New Santro,28683,Petrol,AMT,4.85,Thane,2018,Hyundai
632,Maruti Suzuki Baleno,27021,Petrol,Automatic,6.75,Thane,2018,Maruti
633,Skoda Rapid,9638,Petrol,Automatic,7.95,Thane,2018,Skoda
634,Tata Altroz,20190,Petrol,Manual,7.95,Thane,2022,Tata
635,Honda WR-V,20840,Petrol,Manual,8.25,Thane,2020,Honda
636,Maruti Suzuki S-Cross,22485,Petrol,Automatic,9.95,Thane,2021,Maruti
637,Hyundai Venue,23683,Diesel,Manual,10.95,Thane,2021,Hyundai
638,Maruti Suzuki XL6,21577,Petrol,Automatic,11.95,Thane,2021,Maruti
639,Mahindra Marazzo,7798,Diesel,Manual,13.75,Thane,2022,Mahindra
640,Maruti Suzuki Wagon R,47847,Petrol+CNG,Manual,3.45,Thane,2014,Maruti
641,Maruti Suzuki S-Presso,31178,Petrol,Manual,4.95,Thane,2020,Maruti
642,Maruti Suzuki Baleno,40442,Petrol,Manual,5.35,Thane,2017,Maruti
643,Hyundai i20,37360,Petrol,Manual,5.95,Thane,2017,Hyundai
644,Renault Kiger,33036,Petrol,AMT,7.75,Thane,2022,Renault
645,Honda WR-V,41845,Petrol,Manual,7.75,Thane,2018,Honda
646,Tata Nexon,49616,Petrol,Manual,7.95,Thane,2020,Tata
647,Hyundai Venue,46107,Petrol,Automatic,10.65,Thane,2021,Hyundai
648,Honda Jazz,21438,Petrol,Automatic,5.65,Thane,2016,Honda
649,Hyundai Grand i10,59982,Diesel,Manual,5.65,Thane,2017,Hyundai
650,Honda Jazz,54767,Petrol,Automatic,6.45,Thane,2018,Honda
651,Honda Jazz,24772,Petrol,Automatic,6.75,Thane,2018,Honda
652,Renault Kiger,27277,Petrol,AMT,6.95,Thane,2021,Renault
653,Honda WR-V,59681,Diesel,Manual,7.25,Thane,2017,Honda
654,Ford EcoSport,57234,Petrol,Automatic,7.45,Thane,2018,Ford
655,Tata Nexon,52912,Petrol,AMT,8.15,Thane,2018,Tata
656,Tata Nexon,26355,Petrol,AMT,8.25,Thane,2018,Tata
657,Maruti Suzuki Ciaz,60442,Petrol,Automatic,8.65,Thane,2019,Maruti
658,Maruti Suzuki Ciaz,12849,Petrol,Automatic,8.75,Thane,2018,Maruti
659,Honda City ZX,60236,Petrol,Automatic,9.65,Thane,2018,Honda
660,Volkswagen Polo,49229,Petrol,Manual,4.25,Thane,2015,Volkswagen
661,Honda Jazz,47649,Petrol,Automatic,5.55,Thane,2016,Honda
662,Hyundai Aura,37461,Petrol,AMT,7.0,Thane,2021,Hyundai
663,Tata Nexon,48233,Diesel,AMT,8.25,Thane,2018,Tata
664,Maruti Suzuki S-Presso,14769,Petrol,AMT,4.45,Thane,2020,Maruti
665,Hyundai Grand i10,54609,Petrol,Automatic,4.55,Thane,2015,Hyundai
